Nombre,Direccion,Contacto,Horario,Google maps Ubicación (),Estado
Engrane Verde - Recicladora Progreso,"Blvd. Progreso 86, Solidaridad, 83116 Hermosillo, Son., México.",Teléfono: +52 6621368600,"lunes a viernes de 7:30 a 13:00 y de 14:00 a 17:00, sábado de 8:00 a 13:00, domingo cerrado",https://maps.app.goo.gl/epEtvGRFviMBh3Z76,Sonora
Centro de Acopio de Tabasco,"Perif. Carlos Pellicer Cámara, Carrizal, 86108 Villahermosa, Tab., México.",Teléfono: +52 9931615239,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/srH8WFf9hdXXwi6X6,Tabasco
Manejo Integral De Reciclados,"Carretera A Monterrey KM 203, 6 S/N, Esfuerzo Nacional, 88735 Reynosa, Tamps., México.",Teléfono: +52 8999368028,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 14:00, domingo cerrado",https://maps.app.goo.gl/zkULamcCEUaWoPE7A,Tamaulipas
"Centro de Reciclaje Atempan, Tlaxcala.","Revolución 9, San Buenaventura Atempa, 90010 San Buenaventura Atempan, Tlax., México.",Teléfono: +52 2462570109,"lunes a viernes de 10:00 a 18:00, sábado de 10:00 a 15:00, domingo cerrado.",https://maps.app.goo.gl/LKv3YLEkHLaRcEdRA,Tlaxcala
Distribuidora de Reciclaje SA de CV / Electronicos,"Av. Pte. 1, Adolfo Ruiz Cortines, 91770 Veracruz, Ver., México.",Teléfono: +52 2294467333,"lunes a viernes de 8:00 a 17:00, sábado de 8:00 a 14:00, domingo cerrado.",https://maps.app.goo.gl/kXoNrsZ8xAoAHYZbA,Veracruz de Ignacio de la Llave
RAEMSU (Reciclaje Electrónico),"Cto. Colonias, Mayapán, 97157 Mérida, Yuc., México.",Teléfono: +52 9995976049,"lunes a jueves de 9:00 a 18:00, cerrado viernes, sábado y domingo.",https://maps.app.goo.gl/3tGte9AJYXNgKrs77,Yucatán
Reciclajes Miravalle,"Carretera panamericana salida a Ags km 1 Entre bonito pueblo y, Villas de Guadalupe, 98613 Guadalupe, Zac., México",Teléfono: +524929980906,"lunes a viernes de 8:30 a 18:00, sábado de 8:30 a 14:00, domingo cerrado.",https://maps.app.goo.gl/c7U46QFSKFCdMNxT7,Zacatecas
Ecorecycler,"Carretera La Guayana, 20358 San Francisco de los Romo, Aguascalientes.",Teléfono: 465-110-0031.,"Lunes a viernes, 9:00-18:00 h.",https://maps.app.goo.gl/5CpPNWryBczqoNNZ8?g_st=com.google.maps.preview.copy,Aguascalientes
Recicladora San Marcos,"Tiziano #213, Fraccionamiento San Marcos, 20078 Aguascalientes, Ags., México.",Teléfono: +52 449 146 0867.,"lunes a viernes de 9:00 a 15:00 y de 16:00 a 18:30, sábado de 9:00 a 14:00. Cerrado los domingos.",https://maps.app.goo.gl/uUfdBRtdCD2ED6WX9?g_st=com.google.maps.preview.copy,Aguascalientes
Recicladora Andrade,"Navarra 114, La España, 20210 Aguascalientes, Ags.",Teléfono: +52 449 913 3424. ,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 15:00. Cerrado los domingos.",https://maps.app.goo.gl/CGtcuz711t17z3ix6?g_st=com.google.maps.preview.copy,Aguascalientes
Reciclaje Electrónico RECLAN," Av. Poliducto 504, Mujeres Ilustres, 20299 Aguascalientes, Ags.",Teléfono: +52 449 552 7787.,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 14:00.",https://maps.app.goo.gl/CfEXetmobwpBW9LQ6?g_st=com.google.maps.preview.copy,Aguascalientes 
Recimetal Aguascalientes,"20150, Av. Paseo de La Solidaridad 99, La Estrella, 20150 Aguascalientes, Ags., México. ",Teléfono: +52 449 205 8345. ,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 14:00. Cerrado los domingos.",https://maps.app.goo.gl/P3s1aY5ioMgGbuieA?g_st=com.google.maps.preview.copy,Aguascalientes 
Recicladora Sepanal,"Rumorosa 16, Buena Vista, Sepanal, 22415 Tijuana, B.C., México.",Teléfono: +52 664 372 1464,"lunes a viernes de 7:30 a 17:00, sábado de 7:30 a 14:00, domingo cerrado.",https://maps.app.goo.gl/3a5za5Wz2z6qfGDT9?g_st=com.google.maps.preview.copy,Baja California
Eco Recycling,"Tecolote en Calle Miguel Hidalgo 7951, El Tecolote, 22644 Tijuana, B.C., México.",Teléfono: +52 664 626 0202. ,lunes a domingo de 8:00 a 17:00.,https://maps.app.goo.gl/a6fJerRswqwquM7P6?g_st=com.google.maps.preview.copy,Baja California
Eco Recycling,"Maclovio en Esq. Ave. Jaime Pujol y Calle 2 de Julio, Valle Redondo, 22720 Tijuana, B.C., México.",Teléfono: +52 664 903 2241. ,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 18:00, domingo de 8:00 a 15:00.",https://maps.app.goo.gl/d6o1gb8vZ2jpmNqj7?g_st=com.google.maps.preview.copy,Baja California
Eco Recycling,"Matriz Tijuana en Blvd, Blvd. Cucapah 3674, Ex-Ejido Mariano Matamoros, Granjas Familiares del Matamoros, 22203 Tijuana, B.C., México. ",Teléfono: +52 664 288 2222. ,"lunes a viernes de 7:30 a 17:00, sábado de 7:30 a 17:00, domingo de 8:00 a 17:00.",https://maps.app.goo.gl/8WTtyHmQ1DjDbngm9?g_st=com.google.maps.preview.copy,Baja California
Eco Recycling,"Terrazas del Valle en Blvd. Olivas, Terrazas del Valle, 22246 Tijuana, B.C., México.",Teléfono: +52 664 971 3105. ,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 18:00, domingo de 8:00 a 15:00. ",,Baja California
Recicladora Marros,"Calle Cuarta S/N, Agua Escondida, 23080 La Paz, B.C.S., México.",Teléfono: +52 612 183 0312. ,lunes a viernes de 8:00 a 18:00 y los sábados de 8:00 a 15:00.,https://maps.app.goo.gl/YFQNpkLYTzrGqDBE9?g_st=com.google.maps.preview.copy,Baja California Sur
Recicladora Mazatlan,"Av. Leona Vicario 2937, Col. Lagunitas, 23462, Lagunitas, 23462 Cabo San Lucas, B.C.S., México.",Teléfono: +52 624 146 1660. ,lunes a viernes de 8:00 a 17:50 y los sábados de 8:00 a 13:00. ,https://maps.app.goo.gl/n2gr6DShV8EijZ5z6?g_st=com.google.maps.preview.copy,Baja California Sur
Eco Verde.,"23080 La Paz, B.C.S., México.",Teléfono: +52 612 177 4412.,no disponible. ,https://maps.app.goo.gl/HCWPG6aD7dCbpFmj9?g_st=com.google.maps.preview.copy,Baja California Sur
Centro de Reciclaje La Paz,"Los Tabachines, 23084 La Paz, B.C.S., México. ",Teléfono: +52 612 114 6722. ,no disponible ,https://maps.app.goo.gl/2cV3FXzUwpDoK5nr8?g_st=com.google.maps.preview.copy,Baja California Sur
Recicladora Giles,"24080, 20 de Noviembre 1, Esperanza, 24080 San Francisco de Campeche, Campeche, México. ",Teléfono: +52 981 125 3257. ,lunes a viernes de 7:00 a 17:00 y los sábados de 7:00 a 15:00. ,https://maps.app.goo.gl/Ms5jtWPHkQiNLaMG6?g_st=com.google.maps.preview.copy,Campeche
Centro de Acopio Universitario,"Av. Agustín Melgar 32, Villas Universidad, 24030 San Francisco de Campeche, Camp., México.",Teléfono: +52 981 811 9800.,lunes a viernes de 11:00 a 15:00. Cerrado los sábados y domingos. ,https://maps.app.goo.gl/RrDux3qAUEJNzESB8?g_st=com.google.maps.preview.copy,Campeche
Grupo metaplast del sureste,"Calle 16n 86 x 108 y 110, Calle Sta. Lucía, Barrio de Sta Lucía, 24090 San Francisco de Campeche, Camp., México.",Teléfono: +52 981 815 6316. ,lunes a viernes de 8:00 a 18:00 y los sábados de 8:00 a 14:00.,https://maps.app.goo.gl/heXPJeK54jnJoaEWA?g_st=com.google.maps.preview.copy,Campeche
CORPSA,"Emiliano Zapata #62, Terán, 29059 Tuxtla Gutiérrez, Chis., México.",Teléfono: +52 961 334 7441.,lunes a viernes de 7:00 a 17:00 y los sábados de 7:00 a 13:00. Cerrado los domingos. ,https://maps.app.goo.gl/TLy1TYTnrKtxAFdJ6?g_st=com.google.maps.preview.copy,Chiapas
Refich,"Conasupo 56, San José Terán, 29057 Tuxtla Gutiérrez, Chis., México.",Teléfono: +52 961 615 4385.,lunes a viernes de 8:00 a 16:00 y los sábados de 8:00 a 13:00. Cerrado los domingos.,https://maps.app.goo.gl/9VHz2vNv7uvkRtaJ9?g_st=com.google.maps.preview.copy,Chiapas
PACSUR,"Centro Reciclaje en Libramiento Sur Ote 4445, Castillo Tielmans, 29070 Tuxtla Gutiérrez, Chis., México.",Teléfono: +52 961 347 7998.,lunes a sábado de 8:00 a 18:00. Cerrado los domingos. ,https://maps.app.goo.gl/L7bFft7h1QCyBX2K8?g_st=com.google.maps.preview.copy,Chiapas
Recicladora Juanjo,"Calz. Emiliano Zapata 238, Loma Bonita, 29059 Tuxtla Gutiérrez, Chis., México. ",Teléfono: +52 961 349 0981. ,A disposición ,https://maps.app.goo.gl/xenfaFdb38gDZDzo7?g_st=com.google.maps.preview.copy,Chiapas
Kalischatarra Flores Magon,"C. 62-A, Col cuarteles, Inalámbrica, 31060 Chihuahua, Chih., México. ",Teléfono: +52 614 201 0111. ,"lunes a viernes de 8:00 a 17:30, miércoles abierto 24 horas, sábado de 8:00 a 13:30, domingo cerrado. ",https://maps.app.goo.gl/ApEqZywtmg1S9heF8?g_st=com.google.maps.preview.copy,Chihuahua
Centro de acopio reciclaje,"Idaho 1810, Campestre I Etapa, Campestre-Lomas, 31213 Chihuahua, Chih., México. ",Teléfono: +52 614 250 4862.,"lunes a sábado de 9:00 a 17:30, domingo cerrado.",https://maps.app.goo.gl/YvnUc66uAynbcZtPA?g_st=com.google.maps.preview.copy,Chihuahua
Tecnologias de Reciclado,"Lázaro Cárdenas 140, Francisco Villa, 31134 Chihuahua, Chih., México.",Teléfono: +52 614 250 4862. ,"lunes a sábado de 9:00 a 17:30, domingo cerrado.",https://maps.app.goo.gl/s5fU7s8u9s95r1sd7?g_st=com.google.maps.preview.copy,Chihuahua
REMISA tecnologico,"Deportistas, 31125 Chihuahua, Chih., México. ",Teléfono: +52 614 205 4061. ,"lunes a viernes de 9:00 a 13:00 y de 14:00 a 17:30, sábado de 21:00 a 24:00, domingo cerrado.",https://maps.app.goo.gl/7vembzCbJFcnxLRN9?g_st=com.google.maps.preview.copy,Chihuahua
Reciclados Varela,"Eusebio Báez 10900, Deportistas, 31125 Chihuahua, Chih., México.",Teléfono: +52 614 482 5353. ,"lunes a viernes de 9:00 a 13:00 y de 14:00 a 17:30, sábado de 21:00 a 24:00, domingo cerrado.",https://maps.app.goo.gl/ikLHPbe6Ux6aBnGr7?g_st=com.google.maps.preview.copy,Chihuahua
Recicladora del centro,"Luis Moya 116-local b, Colonia Centro, Centro, Cuauhtémoc, 06070 Ciudad de México, CDMX, México. ",Teléfono: +52 55 5510 0891. ,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 14:00, domingo cerrado. ",https://maps.app.goo.gl/wCW2BETSpqvPHxZX7?g_st=com.google.maps.preview.copy,Ciudad de México
Centro de Reciclaje Bios,"C. Orizaba 6, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, México.",Teléfono: +52 55 57798248,"lunes a viernes de 8:00 a 19:00, sábado de 8:00 a 15:00, domingo cerrado. ",https://maps.app.goo.gl/URDv8xs3b1MDoMCs6?g_st=com.google.maps.preview.copy,Ciudad de México
Centro de Reciclaje “Piensa Verde” ,"Av. Benjamín Franklin 208, Escandón I Secc, Miguel Hidalgo, 11800 Ciudad de México, CDMX, México.",Teléfono: +52 55 20134678.," lunes a viernes de 9:00 a 19:00, sábado de 9:00 a 15:00, domingo cerrado.",https://maps.app.goo.gl/Wms531b3QEoFsXpWA?g_st=com.google.maps.preview.copy,Ciudad de México
Centro de Reciclado Tacubaya,"Gobernador Luis G. Vieyra 33, San Miguel Chapultepec I Secc, Miguel Hidalgo, 11850 Ciudad de México, CDMX, México. ",Teléfono: +52 55 86788190,"lunes a viernes de 8:00 a 17:30, miércoles abierto 24 horas, sábado de 8:00 a 13:30, domingo cerrado. ",https://maps.app.goo.gl/gdNNtS4myLkE2AAv8?g_st=com.google.maps.preview.copy,Ciudad de México
Chatarra AEC,"Benito juarez #101. Amp. Zaragoza c.p.27275, Calz. Zaragoza, Zaragoza, Ejido Zaragoza, 27277 Torreón, Coah., México.",Teléfono: +52 871 392 7484. ,"lunes a viernes de 8:00 a 19:00, sábado de 8:00 a 15:00, domingo cerrado.",https://maps.app.goo.gl/wLnPZ9GuSojdqhXR9,Coahuila de Zaragoza
Recicladora 3R,"25770, Lomas de La Gloria, 25770 Monclova, Coah., México.",Teléfono: +52 861 112 5025.,"lunes a sábado de 9:00 a 19:00, domingo cerrado.",https://maps.app.goo.gl/cAZxa12r8LnQBsc76,Coahuila de Zaragoza
Compra Venta De Reciclaje Don Lino,"Bulevar Diagonal de las fuentes, Calz Saltillo 400 780, Ejido la Merced, 27296 Torreón, Coah., México.",Teléfono: +528713950236,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 15:00, domingo cerrado.",https://maps.app.goo.gl/mta9TsR337wzAGjM9,Coahuila de Zaragoza
Grupo MARESA,"Torre de Pisa 350, Parque Industrial las Torres, 25114 Saltillo, Coah., México.",Teléfono: +52 81 2918 2618.,"lunes a viernes de 8:00 a 12:30 y de 14:00 a 17:00, sábado de 8:00 a 13:00, domingo cerrado.",https://maps.app.goo.gl/yT812vLcUuSUboET7,Coahuila de Zaragoza
RECICLADORA DE COLIMA,"Lib. Ote. Ejército Mexicano 498, Francisco Villa, 28000 Colima, Col., México.",Teléfono: +52 312 161 3367.,"lunes a viernes de 9:00 a 18:00, sábado de 9:00 a 15:00, domingo cerrado.",https://maps.app.goo.gl/QwJJMygcLtoigiQs8,Colima
Centro de Reciclaje Las Palmas,"De Los Cocoteros 90, Las Palmas, 28017 Colima, Col., México.",no disponible,"lunes a viernes de 8:00 a 15:00 y de 16:00 a 19:00, sábado de 8:00 a 15:00 y de 16:00 a 19:00, domingo cerrado.",https://maps.app.goo.gl/NwfvtHYR1j1ognHXA,Colima
Centro de acopio parque los carcamos,"Blvd. Adolfo López Mateos #3402, Hacienda del Campestre, 37170 León de los Aldama, Gto., México",Teléfono: +52 477 717 2790.,"lunes a viernes de 8:30 a 15:30, martes a sábado de 9:30 a 17:00, y domingo cerrado.",https://maps.app.goo.gl/BVz88schaMdNduJm6,Guanajuato
Recicla Ambiente,"Av. de Los Insurgentes 35, Centro, 36500 Irapuato, Gto., México.",Teléfono: +52 462 623 7744.,"lunes a viernes de 9:00 a 17:30, sábado de 9:00 a 13:30, y domingo cerrado.",https://maps.app.goo.gl/h69fBmaKqMyzsdbp7,Guanajuato
Recicladora gombar,"Efeso 302, San Pablo, 37235 Guanajuato, Gto., México",Teléfono: +52 479 417 0942.,"lunes a sábado de 8:30 a 18:00, y domingo cerrado",https://maps.app.goo.gl/8DhPDEP6wEq5rggi7,Guanajuato
RECICLADORA TECANE,"Calle Josefa Ortiz de Domínguez, Piña esquina, Sopeña, Villas de la Montaña, 36119 Silao de la Victoria, Gto., México.",Teléfono: +52 472 000 0000.,"lunes a viernes de 8:00 a 18:30, sábado de 8:00 a 15:30, y domingo cerrado.",https://maps.app.goo.gl/oibUctBaKgrRNZ9f9,Guanajuato
Compra de material reciclable (Recicladora),"Pueblito de Rocha 17, Indeco Pueblito de Rocha, 36040 Guanajuato, Gto., México",Teléfono: +52 477 670 1635,"lunes a viernes de 8:00 a 18:00, sábado de 8:00 a 14:00, y domingo cerrado.",https://maps.app.goo.gl/7gU47WjWQcHU1Cvm6,Guanajuato
SEPARA & RECICLA,Zihuatanejo de Azueta,Teléfono: +52 755 124 6147.,lunes a viernes de 10:00 a 17:00.,https://maps.app.goo.gl/xKEeHCAXQCbFdUc2A,Guerrero
?EL SEÑOR DE LOS FIERROS,Acapulco de Juárez,Teléfono: +52 744 320 8867,lunes a viernes de 8:00 a 19:00.,https://maps.app.goo.gl/4j29vCxRUtrhxdyZ6,Guerrero
UCP Centro de reciclaje electrónico,"Blvd. Municipio Libre 2006, Cdad. Universitaria, 72592 Heroica Puebla de Zaragoza, Pue.",Telefono: +522461791906,"Lunes - jueves 9?a.m.–5?p.m., viernes 9?a.m.–3?p.m., Sábado y domingo Cerrado",https://maps.app.goo.gl/PFgS56kLMXMtwaAX6,Puebla
?. RECICLAMPOS . ?,"C. Josefa Ortiz de Domínguez 1708, Tres Cerritos, 72480 Heroica Puebla de Zaragoza, Pue.","Telefono: +522223895024, Facebook: https://www.facebook.com/profile.php?id=100029111492705&mibextid=ZbWKwL",,https://maps.app.goo.gl/zEF7pegZDNd6WNhp6,Puebla
Servicio de Disposición de Residuos Reciclables,"Calle 24 Sur 1901, Azcarate, 72501 Heroica Puebla de Zaragoza, Pue.","Telefono: +522222338374, Pagina: http://puebla.gob.mx/",Lunes- Sabado 9:00- 7:00 Domingo Cerrado,https://maps.app.goo.gl/opdtgSW6XAEaj5Fs8,Puebla
Acarecycla,"Río Colorado 9, Hogar Moderno, 39580 Acapulco de Juárez, Gro.",Teléfono: +52 744 290 7501.,lunes a sábado de 9:00 a 18:00.,https://maps.app.goo.gl/pjajtgWYmYYiUqQP6,Guerrero
Centro De Reciclaje Azulita Project,La Unión de Isidoro Montes de Oca,Teléfono: +52 755 110 1467.,lunes a viernes de 8:00 a 18:00.,https://maps.app.goo.gl/bg45dxZskV5zfT2g8,Guerrero
amo tlazolli,"Nicolás Bravo 8, San Francisco, 39068 Chilpancingo de los Bravo, Gro.",Teléfono: +52 747 106 3722.,lunes a sábado de 10:00 a 17:00.,https://maps.app.goo.gl/A7dWZgq43D2UGehB9,Guerrero
UNIÓN DE RECICLAJE DEL ESTADO DE HIDALGO,"Carr. Cdad. Sahagún-Pachuca km 35, 43846 Tlanalapa, Hgo., México.",Teléfono: +52 771 309 7116.,a disposición ,https://maps.app.goo.gl/Lw6qGAJ4wGn8q6sC8,Hidalgo
EMHSA ,"Calle Xometitla No. 3, 43838 Acelotla de Ocampo, Hgo., México.",Teléfono: +52 771 394 1899.,Lunes a viernes de 8:30 a 17:30. Cerrado domingos,https://maps.app.goo.gl/wpLQyaxbsXavTyNT6,Hidalgo
Acopio Pachuca PetStar,"43586 Camino a San Miguel Nopalapa No. 2. Colonia, San Miguel Nopala, 43586 Epazoyucan, Hgo., México.",Teléfono: +52 771 177 9554.,Lunes a viernes de 9:00 a 18:30. Cerrado sábados y domingos,https://maps.app.goo.gl/ARX3FCmbDCUympaM8,Hidalgo
ARYA Reciclajes,"Lirio MZ 15 Lt 1, Bugambilia, Abundio de Antorcha Campesina, 42080 Pachuca de Soto, Hgo., México.",Teléfono: +52 771 420 9383.,"Lunes a viernes de 8:00 a 19:00, sábados de 9:00 a 14:00. Cerrado domingos.",https://maps.app.goo.gl/78KZvdU6KcECwpGa6,Hidalgo
,,,,,
CENTRO DE ACOPIO RECICLADOS,"Privada 4 Oriente, Av. General Miguel Negrete 2001, Barrio de los Remedios, 72377 Heroica Puebla de Zaragoza, Pue.",Telefono: +522226111094,"Lunes. Viernes 9:00 am a 6:30 pm, sábado 9?a.m.–4?p.m., domingo Cerrado",https://maps.app.goo.gl/AQBAbebEVoYHfmty6,Puebla
Reciclaje de basura electrónica área oficial de computadoras,"Guelache 301, San Sebastian, 71313 Villa de Zaachila, Oax.","Telefono: +529513945266, Pagina: http://www.recolecciondebasuraelectronica.com/","Lunes a Sabado 9:00 am a 6:00 pm, Domingo cerrado",https://maps.app.goo.gl/aZjDcC23DzUc7rvg9,Oaxaca
"Recicladora ""volcanes""","C. Zempoaltepetl 322, Volcanes, 68020 Oaxaca de Juárez, Oax.",Telefono: +529516957695,"Lunes a viernes de 8am a 6 pm, Sabado 8?a.m.–3?p.m., domingo Cerrado",https://maps.app.goo.gl/b9RjRChQK7FFUUxA6,Oaxaca
Oaxaca Verde,"Av. Ferrocarril S/N, entre Crespo y Morelos, Eucaliptos, 68274 Oaxaca de Juárez, Oax.","Telefono: +529512218601, Pagina: http://www.oaxacaverde.com.mx/","Lunes a viernes 8 am a 6:30 pm, sabado 8 am a 4:30 pm, domingo cerrado",https://maps.app.goo.gl/f8bU6jEvLqsi4rZH9,Oaxaca
Recoleccion de basura exprés,"Calle azabache, Azabache esquina, La Joya, 68276 Oaxaca de Juárez, Oax.",Telefono: +529517411941,Lunes a domingo 7am a 8 pm,https://maps.app.goo.gl/hfkHrUYP4T8rjbzGA,Oaxaca
Reciclaje Electronico,"Avenida Cristóbal Colón # 3218 Ote, Acero, 64580 Monterrey",Telefono: +528183945858,"Lunes a viernes 10:30am a 7pm, Sabado 10:30am a 7pm, Domingo cerrado",https://maps.app.goo.gl/C9tozvEN7NkXWQsS9,Nuevo León
AMA - Recicla Electrónicos,"Av Maestro Israel Cavazos Garza 8783, Xochimilco, 67190 Guadalupe, N.L.",Telefono: +528136102740 Pagina: http://www.amarecicla.com/,"Lunes a viernes 8am a 5pm, Sabado y domingo cerrado",https://maps.app.goo.gl/ufVV1WwwXMNspEK99,Nuevo León
CENTRO DE ACOPIO TREGO RECICAJE,"Río Missouri 410, NORTE, 67115 Guadalupe, N.L.",Pagina: https://reciclajetrego.com/,Lunes a domingo 8:30 am a 9pm,https://maps.app.goo.gl/W5DiaUL5N6ypDHkM9,Nuevo León
RESELECOM,"Jesús Rendón Treviño 406-A, Constituyentes de Queretaro 2do Sector, 66490 San Nicolás de los Garza, N.L.","Telefono: +528115080240, Pagina: http://reciclajedeelectronicos.mx/","Lunes a viernes 9:30am a 5 pm, sabado 9:30am a 1:30 pm y domingo cerrado",https://maps.app.goo.gl/2kQwjJcjrPskpxzu7,Nuevo León
Reciclaje Electrónico Avanzado,"Av. Estanislao Martínez Lara 133, Parque Milimex, 66636 Santa Rosa, N.L.","Telefono: +528147745896, Pagina: https://www.desechoselectronicos.com.mx/","Lunes a viernes 7:30am a 4:30pm, sabado y domingo cerrado",https://maps.app.goo.gl/G2yS8SioBuVMYD4h8,Nuevo León
chatarra electrónica Guadalajara,"Aldama 100A, Pinar de Las Palomas, 45406 Tonalá, Jal., México.",Teléfono: +52 33 4523 6655.,lunes a viernes de 9:00 a 18:00 y los sábados de 9:00 a 15:00. Cerrado los domingos.,https://maps.app.goo.gl/ogPEHNx5zkKtzZw78,Jalisco
Prado Centro de Reciclaje,"Aldama, Pinar de Las Palomas 100A, 45406 Tonalá, Jal., México.",Teléfono: +52 33 2316 8404.,lunes a viernes de 9:00 a 18:00. Cerrado los sábados y domingos.,https://maps.app.goo.gl/21gs79phxwRZRxrF6,Jalisco
Centro de Reciclaje,"C. Francisco Villa, Blanco y Cuéllar, 44730 Guadalajara, Jal., México.",Teléfono: +52 33 3649 4332,lunes a viernes de 8:00 a 18:00 y los sábados de 8:00 a 14:00.,https://maps.app.goo.gl/HwWv1iE3i8mfsaTRA,Jalisco
Centro de Reciclaje,"C. Ventura Anaya 868, Blanco y Cuéllar, 44730 Guadalajara, Jal., México.",no disponible,lunes a viernes de 8:00 a 18:00 y los sábados de 9:00 a 14:00,https://maps.app.goo.gl/wrGuxnS3JRVicEZZA,Jalisco
